Workshopname,Preis,Einheiten,Pole Studio,URL_E
"INTRODUCTION TO TRAINING • POLE ANATOMIE (Grundkurs, all Levels)","ab 249,00 €",1 Einheit,Health & Shape München,https://www.eversports.de/e/workshop/gsKaaiO
Schulterstände & -Rollen Workshop - Early Intermediate,"ab 40,00 €",1 Einheit,AIRobics,https://www.eversports.de/e/workshop/3lsUyvo
Schulterstände & -Rollen Workshop - Beginners,"ab 40,00 €",1 Einheit,AIRobics,https://www.eversports.de/e/workshop/xf9Wsde
Bendygio - SIGNATURE SPINS - Intermediate,"ab 65,00 €",1 Einheit,AIRobics,https://www.eversports.de/e/workshop/mGdhBJc
Bendygio - FIND YOUR FLOW - Beginner,"ab 65,00 €",1 Einheit,AIRobics,https://www.eversports.de/e/workshop/hPhsP8N
Bendygio - GET YOUR NEEDLE SCALE - All Levels,"ab 65,00 €",1 Einheit,AIRobics,https://www.eversports.de/e/workshop/FijT8a7
Sexy Chairdance,"ab 40,00 €",1 Einheit,Polearize,https://www.eversports.de/e/workshop/7yGrljL
Sexy Chairdance,Ausgebucht,1 Einheit,Polearize,https://www.eversports.de/e/workshop/vmkQFeK
Rock ‘n‘ Pole,Ausgebucht,1 Einheit,Polearize,https://www.eversports.de/e/workshop/4gGolhi
Backstreet‘s Back Chairdance,"ab 40,00 €",1 Einheit,Polearize,https://www.eversports.de/e/workshop/91m99Ge
Floor-Splits,"ab 45,00 €",1 Einheit,körpernah,https://www.eversports.de/e/workshop/ETuGX5O
Mit Achtsamkeit zu mehr Beweglichkeit,"ab 35,00 €",1 Einheit,körpernah,https://www.eversports.de/e/workshop/Bre34FB
Eltern-Kind-Luftakrobatik,"ab 45,00 €",1 Einheit,körpernah,https://www.eversports.de/e/workshop/0ktpuKQ
Drills to Handstand ,"ab 40,00 €",1 Einheit,körpernah,https://www.eversports.de/e/workshop/Js7a_FB
SisersStretching-Let's get flexy together,"ab 55,00 €",5 Einheiten,körpernah,https://www.eversports.de/e/workshop/H_ElTJN
Walk-In Pole,"ab 19,00 €",1 Einheit,InfinityArts,https://www.eversports.de/e/workshop/knYuKFv
Walk-In Pole,"ab 19,00 €",1 Einheit,InfinityArts,https://www.eversports.de/e/workshop/wsoYgNl
BENDY GIO,"ab 60,00 €",2 Einheiten,Pole Faction - Rhein-Neckar,https://www.eversports.de/e/workshop/VtQCbbh
Suen Lee - Workshops,"ab 80,00 €",3 Einheiten,Pole Faction - Rhein-Neckar,https://www.eversports.de/e/workshop/Pi9Ivxi
Kinderzirkus | Luftakrobatik für Kinder 49€ p.P. (3h),"ab 49,00 €",1 Einheit,aerialflow,https://www.eversports.de/e/workshop/OQN28ZD
Twerk Workshop,"ab 35,00 €",1 Einheit,A heart for poledance,https://www.eversports.de/e/workshop/jQOaOC3
Strip Workshop,"ab 35,00 €",1 Einheit,A heart for poledance,https://www.eversports.de/e/workshop/H4Qz_fT
Twerk Workshop ,"ab 35,00 €",1 Einheit,A heart for poledance,https://www.eversports.de/e/workshop/nOac6zt
Strip Workshop,"ab 35,00 €",1 Einheit,A heart for poledance,https://www.eversports.de/e/workshop/yMiXoIi
Flying Pole Workshop,Ausgebucht,1 Einheit,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/Bq8SWzC
Flying Pole mit Denys Zhygaltsov,"ab 55,00 €",1 Einheit,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/ePH29kU
Stretch & Strength mit Denys Zhygaltsov,"ab 45,00 €",1 Einheit,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/fMcJ4cb
